subj,block,goals,perfs,emots
14,13,4,3,1.3333333333333333
14,14,3,2,1.0
14,15,2,3,1.0
14,16,3,4,1.0
14,17,4,6,1.0
14,18,5,7,2.333333333333333
14,19,5,5,2.333333333333333
14,20,5,6,2.333333333333333
15,1,3,2,2.0
15,2,3,2,1.6666666666666667
15,3,1,3,2.0
15,4,3,4,2.333333333333333
15,5,3,3,2.0
15,6,3,4,2.0
15,7,4,5,2.0
15,8,4,4,2.0
15,9,3,3,1.3333333333333333
15,10,3,4,2.0
15,11,3,4,2.0
15,12,4,3,2.0
15,13,3,4,2.0
15,14,4,4,2.0
15,15,4,4,1.3333333333333333
15,16,4,5,2.0
15,17,4,6,2.0
15,18,5,3,2.0
15,19,3,5,2.0
15,20,5,5,2.0
16,1,8,11,2.0
16,2,8,9,1.3333333333333333
16,3,8,9,0.6666666666666666
16,4,8,10,2.0
16,5,9,10,1.0
16,6,9,11,0.6666666666666666
16,7,9,10,1.6666666666666667
16,8,9,7,-2.0
16,9,8,7,-2.333333333333333
16,10,8,9,0.6666666666666666
16,11,8,8,1.3333333333333333
16,12,8,6,-1.6666666666666667
16,13,8,9,0.6666666666666666
16,14,8,8,0.3333333333333333
16,15,8,8,0.6666666666666666
16,16,8,11,1.3333333333333333
16,17,9,6,-1.3333333333333333
16,18,8,6,-1.6666666666666667
16,19,8,5,-2.0
16,20,8,9,0.6666666666666666
17,1,4,8,1.6666666666666667
17,2,7,8,1.6666666666666667
17,3,7,7,1.6666666666666667
17,4,7,9,1.6666666666666667
17,5,7,6,1.0
17,6,6,7,1.0
17,7,6,8,1.0
17,8,7,10,1.0
17,9,7,10,1.0
17,10,7,8,1.0
17,11,7,7,0.6666666666666666
17,12,7,7,0.6666666666666666
17,13,7,8,0.3333333333333333
17,14,7,7,1.0
17,15,7,9,1.0
17,16,8,8,0.3333333333333333
17,17,7,9,1.3333333333333333
17,18,7,7,1.3333333333333333
17,19,7,8,1.6666666666666667
17,20,7,7,1.3333333333333333
18,1,6,5,-0.6666666666666666
18,2,6,8,2.333333333333333
18,3,7,7,2.6666666666666665
18,4,7,8,3.0
18,5,7,7,2.333333333333333
18,6,7,7,2.0
18,7,7,7,2.0
18,8,7,6,0.0
18,9,6,6,1.3333333333333333
18,10,8,8,1.3333333333333333
18,11,7,8,1.3333333333333333
18,12,8,9,1.0
18,13,7,7,1.3333333333333333
18,14,7,6,0.3333333333333333
18,15,6,5,1.0
18,16,5,5,-0.3333333333333333
18,17,6,8,-0.3333333333333333
18,18,7,6,-0.3333333333333333
18,19,7,6,-0.3333333333333333
18,20,8,8,0.3333333333333333
19,1,10,12,2.6666666666666665
19,2,10,14,2.6666666666666665
19,3,11,12,2.6666666666666665
19,4,11,8,2.333333333333333
19,5,9,11,2.333333333333333
19,6,9,10,2.333333333333333
19,7,9,12,2.6666666666666665
19,8,10,11,2.6666666666666665
19,9,10,12,2.6666666666666665
19,10,10,13,2.6666666666666665
19,11,10,11,2.6666666666666665
19,12,10,11,2.6666666666666665
19,13,10,10,2.333333333333333
19,14,10,11,2.333333333333333
19,15,10,11,2.333333333333333
19,16,10,9,1.6666666666666667
19,17,10,11,2.0
19,18,10,11,2.333333333333333
19,19,10,11,2.333333333333333
19,20,10,12,2.333333333333333
20,1,6,5,-2.333333333333333
20,2,5,10,0.0
20,3,6,10,0.3333333333333333
20,4,8,11,-0.6666666666666666
20,5,8,9,0.0
20,6,5,9,-1.3333333333333333
20,7,5,8,0.0
20,8,5,9,-1.6666666666666667
20,9,5,8,-2.0
20,10,6,9,-2.0
20,11,4,8,-2.0
20,12,5,10,-2.333333333333333
20,13,8,10,-2.0
20,14,5,8,-2.333333333333333
20,15,5,8,-2.0
20,16,5,11,-1.3333333333333333
20,17,5,8,-1.0
20,18,5,8,-1.6666666666666667
20,19,5,9,0.0
20,20,5,10,0.0
21,1,4,7,1.3333333333333333
21,2,5,4,0.0
21,3,5,7,1.3333333333333333
21,4,6,7,1.0
21,5,6,7,0.3333333333333333
21,6,6,3,-0.3333333333333333
21,7,5,7,0.6666666666666666
21,8,6,5,-0.3333333333333333
21,9,5,7,1.0
21,10,5,5,0.6666666666666666
21,11,5,7,0.6666666666666666
21,12,5,9,1.0
21,13,6,9,1.3333333333333333
21,14,6,7,0.3333333333333333
21,15,6,9,1.3333333333333333
21,16,6,10,1.3333333333333333
21,17,7,8,0.3333333333333333
21,18,6,10,1.6666666666666667
21,19,7,7,0.0
21,20,6,7,0.0
22,1,4,3,-1.3333333333333333
22,2,4,3,-1.3333333333333333
22,3,5,5,1.3333333333333333
22,4,6,6,1.3333333333333333
22,5,6,7,0.6666666666666666
22,6,7,7,1.0
22,7,8,7,0.0
22,8,7,6,0.0
22,9,7,8,1.0
22,10,8,8,1.3333333333333333
22,11,7,7,1.0
22,12,8,8,1.0
22,13,9,7,0.6666666666666666
22,14,7,8,1.0
22,15,8,5,0.0
22,16,8,8,1.0
22,17,8,8,1.0
22,18,8,9,1.0
22,19,9,5,0.0
22,20,9,8,0.3333333333333333
23,1,10,10,1.3333333333333333
23,2,10,12,1.0
23,3,10,11,1.0
23,4,10,10,1.0
23,5,10,7,0.6666666666666666
23,6,10,9,0.6666666666666666
23,7,10,10,0.6666666666666666
23,8,10,12,0.6666666666666666
23,9,10,10,0.6666666666666666
23,10,10,11,0.6666666666666666
23,11,10,11,0.6666666666666666
23,12,10,10,0.6666666666666666
23,13,10,11,0.6666666666666666
23,14,10,12,0.6666666666666666
23,15,10,11,0.6666666666666666
23,16,10,12,0.6666666666666666
23,17,10,9,0.6666666666666666
23,18,10,12,0.6666666666666666
23,19,10,12,0.6666666666666666
23,20,10,9,0.6666666666666666
24,1,5,7,1.6666666666666667
24,2,6,5,0.0
24,3,5,7,1.0
24,4,5,10,1.6666666666666667
24,5,5,5,1.0
24,6,5,8,1.0
24,7,5,9,1.0
24,8,5,9,0.6666666666666666
24,9,5,10,1.0
24,10,5,9,1.0
24,11,5,9,1.0
24,12,6,10,1.0
24,13,7,10,1.0
24,14,8,10,0.6666666666666666
24,15,9,10,0.6666666666666666
24,16,9,9,0.6666666666666666
24,17,9,9,0.6666666666666666
24,18,9,9,0.6666666666666666
24,19,9,6,0.0
24,20,9,12,1.6666666666666667
25,1,5,8,0.6666666666666666
25,2,6,8,1.0
25,3,6,8,0.6666666666666666
25,4,5,10,1.0
25,5,8,11,0.0
25,6,6,10,0.6666666666666666
25,7,8,10,1.0
25,8,7,11,1.3333333333333333
25,9,8,9,1.0
25,10,6,9,0.0
25,11,6,11,0.6666666666666666
25,12,9,13,1.0
25,13,9,12,0.3333333333333333
25,14,8,12,1.3333333333333333
25,15,8,12,1.6666666666666667
25,16,9,10,2.0
25,17,10,11,0.6666666666666666
25,18,9,12,2.0
25,19,10,12,1.3333333333333333
25,20,8,10,1.3333333333333333
26,1,5,4,0.6666666666666666
26,2,4,5,0.6666666666666666
26,3,5,5,0.6666666666666666
26,4,4,4,0.3333333333333333
26,5,3,5,0.6666666666666666
26,6,4,3,0.3333333333333333
26,7,3,5,0.6666666666666666
26,8,3,6,0.6666666666666666
26,9,4,5,0.6666666666666666
26,10,4,4,0.6666666666666666
26,11,4,6,1.0
26,12,4,7,1.6666666666666667
26,13,4,5,1.3333333333333333
26,14,4,4,1.3333333333333333
26,15,5,5,1.3333333333333333
26,16,5,6,1.6666666666666667
26,17,5,6,1.6666666666666667
26,18,5,7,2.0
26,19,5,6,2.0
26,20,6,4,2.0
27,1,1,2,0.0
27,2,3,3,0.6666666666666666
27,3,4,4,0.3333333333333333
27,4,4,3,-0.3333333333333333
27,5,3,5,0.3333333333333333
27,6,4,5,0.3333333333333333
27,7,5,2,-1.3333333333333333
27,8,3,4,-0.3333333333333333
27,9,4,3,-0.3333333333333333
27,10,3,5,0.0
27,11,3,4,-0.3333333333333333
27,12,4,4,-0.3333333333333333
27,13,4,4,-0.6666666666666666
27,14,5,4,-1.0
27,15,3,5,-0.3333333333333333
27,16,4,5,0.3333333333333333
27,17,4,5,0.3333333333333333
27,18,4,5,0.6666666666666666
27,19,4,5,0.6666666666666666
27,20,4,4,1.0
28,1,7,8,2.0
28,2,7,9,2.0
28,3,7,9,2.0
28,4,7,11,2.0
28,5,8,13,2.6666666666666665
28,6,9,13,2.6666666666666665
28,7,10,10,2.6666666666666665
28,8,10,12,2.6666666666666665
28,9,10,12,2.6666666666666665
28,10,10,10,2.6666666666666665
28,11,10,12,2.6666666666666665
28,12,10,14,2.6666666666666665
28,13,12,14,2.333333333333333
28,14,12,13,2.333333333333333
28,15,12,13,2.333333333333333
28,16,12,12,2.333333333333333
28,17,12,13,2.333333333333333
28,18,12,13,2.333333333333333
28,19,12,12,2.333333333333333
28,20,12,13,2.6666666666666665
29,1,4,6,-0.6666666666666666
29,2,5,7,-0.6666666666666666
29,3,6,9,-0.6666666666666666
29,4,7,10,-0.6666666666666666
29,5,8,4,-0.6666666666666666
29,6,5,5,-0.6666666666666666
29,7,5,8,-0.6666666666666666
29,8,6,13,-0.6666666666666666
29,9,7,9,-0.6666666666666666
29,10,7,10,-0.6666666666666666
29,11,8,10,-0.6666666666666666
29,12,7,11,-0.6666666666666666
29,13,8,9,-0.6666666666666666
29,14,8,9,-0.6666666666666666
29,15,7,8,-0.6666666666666666
29,16,7,9,-0.6666666666666666
29,17,8,8,-0.6666666666666666
29,18,8,12,-0.6666666666666666
29,19,9,11,-0.6666666666666666
29,20,10,13,-0.6666666666666666
30,1,6,8,1.3333333333333333
30,2,7,6,1.0
30,3,6,7,0.6666666666666666
30,4,8,5,-1.0
30,5,6,6,1.3333333333333333
30,6,6,5,-0.6666666666666666
30,7,6,8,0.3333333333333333
30,8,7,9,1.3333333333333333
30,9,8,7,0.3333333333333333
30,10,8,3,0.0
30,11,6,9,0.3333333333333333
30,12,6,5,0.0
30,13,6,6,-0.3333333333333333
30,14,6,8,0.3333333333333333
30,15,6,8,0.0
30,16,6,8,0.3333333333333333
30,17,6,7,-0.3333333333333333
30,18,6,9,0.3333333333333333
30,19,6,8,0.0
30,20,6,7,-0.3333333333333333
31,1,12,8,0.0
31,2,6,7,0.6666666666666666
31,3,7,7,1.3333333333333333
31,4,7,9,0.3333333333333333
31,5,8,11,0.6666666666666666
31,6,8,8,0.3333333333333333
31,7,8,9,0.6666666666666666
31,8,8,9,0.6666666666666666
31,9,8,9,1.0
31,10,8,10,0.6666666666666666
31,11,8,8,2.333333333333333
31,12,8,10,1.3333333333333333
31,13,8,8,2.0
31,14,8,12,2.0
31,15,8,9,0.6666666666666666
31,16,8,11,2.6666666666666665
31,17,8,8,0.0
31,18,8,10,2.0
31,19,8,10,2.333333333333333
31,20,9,12,2.6666666666666665
32,1,7,8,3.0
32,2,7,8,1.0
32,3,7,7,1.0
32,4,7,10,2.6666666666666665
32,5,8,8,2.6666666666666665
32,6,8,7,-0.3333333333333333
32,7,7,8,1.0
32,8,8,9,1.6666666666666667
32,9,8,9,3.0
32,10,8,9,3.0
32,11,8,9,2.6666666666666665
32,12,8,9,2.333333333333333
32,13,8,10,3.0
32,14,9,7,-0.6666666666666666
32,15,8,9,0.6666666666666666
32,16,8,9,1.0
32,17,8,9,1.3333333333333333
32,18,8,9,0.6666666666666666
32,19,8,8,1.0
32,20,8,10,0.6666666666666666
33,1,8,9,2.333333333333333
33,2,9,10,2.333333333333333
33,3,10,10,2.6666666666666665
33,4,10,12,3.0
33,5,10,12,2.6666666666666665
33,6,11,13,3.0
33,7,12,15,3.0
33,8,12,14,2.333333333333333
33,9,13,10,2.333333333333333
33,10,10,15,3.0
33,11,13,12,2.6666666666666665
33,12,12,11,2.0
33,13,10,16,2.6666666666666665
33,14,10,16,3.0
33,15,12,14,3.0
33,16,13,14,3.0
33,17,13,17,3.0
33,18,14,11,2.6666666666666665
33,19,12,14,3.0
33,20,12,13,3.0
34,1,6,9,2.6666666666666665
34,2,6,10,2.6666666666666665
34,3,5,11,2.6666666666666665
34,4,9,10,2.333333333333333
34,5,6,9,2.6666666666666665
34,6,7,9,2.333333333333333
34,7,6,10,2.6666666666666665
34,8,6,10,2.333333333333333
34,9,5,9,2.6666666666666665
34,10,6,9,2.333333333333333
34,11,5,9,2.0
34,12,6,9,2.0
34,13,6,8,2.0
34,14,5,10,2.333333333333333
34,15,5,9,2.0
34,16,5,8,1.6666666666666667
34,17,4,8,2.0
34,18,5,8,2.0
34,19,6,9,2.0
34,20,6,10,2.6666666666666665
35,1,4,2,0.0
35,2,4,8,0.0
35,3,5,6,-1.0
35,4,5,8,-1.0
35,5,5,11,-1.0
35,6,5,11,-0.6666666666666666
35,7,5,8,-1.0
35,8,6,13,-1.0
35,9,6,11,-0.3333333333333333
35,10,6,5,-1.6666666666666667
35,11,5,6,-1.0
35,12,5,10,-2.0
35,13,6,8,-2.0
35,14,6,9,-2.333333333333333
35,15,5,10,-2.0
35,16,6,2,-2.333333333333333
35,17,5,8,-2.6666666666666665
35,18,5,6,-2.6666666666666665
35,19,5,9,-2.333333333333333
35,20,6,10,-2.333333333333333
36,1,6,6,1.3333333333333333
36,2,5,9,1.3333333333333333
36,3,6,6,1.0
36,4,5,7,1.0
36,5,6,7,1.0
36,6,5,5,1.0
36,7,5,6,1.0
36,8,5,6,1.3333333333333333
36,9,5,6,1.3333333333333333
36,10,5,6,1.3333333333333333
36,11,5,8,1.0
36,12,5,7,0.6666666666666666
36,13,5,4,1.0
36,14,5,7,1.0
36,15,5,6,1.3333333333333333
36,16,5,4,1.0
36,17,5,8,1.0
36,18,5,9,0.6666666666666666
36,19,5,9,1.0
36,20,6,6,0.6666666666666666
37,1,6,7,1.0
37,2,6,6,1.0
37,3,6,8,1.3333333333333333
37,4,7,10,1.6666666666666667
37,5,7,9,1.0
37,6,8,8,1.3333333333333333
37,7,7,10,2.333333333333333
37,8,7,11,2.0
37,9,8,10,2.333333333333333
37,10,8,10,2.6666666666666665
37,11,8,11,2.333333333333333
37,12,8,12,2.333333333333333
37,13,9,10,2.0
37,14,8,8,2.333333333333333
37,15,7,11,2.333333333333333
37,16,8,9,2.0
37,17,7,12,2.0
37,18,8,9,1.6666666666666667
37,19,7,12,2.6666666666666665
37,20,8,11,2.0
38,1,3,3,1.6666666666666667
38,2,3,1,1.3333333333333333
38,3,2,5,2.0
38,4,2,6,2.0
38,5,3,3,2.0
38,6,2,2,2.0
38,7,2,3,2.0
38,8,2,3,2.0
38,9,2,3,2.0
38,10,2,5,2.0
38,11,2,3,2.333333333333333
38,12,2,4,2.0
38,13,2,5,2.0
38,14,2,4,1.6666666666666667
38,15,2,4,2.333333333333333
38,16,2,7,2.0
38,17,2,5,2.0
38,18,2,4,2.0
38,19,2,6,2.0
38,20,2,3,1.6666666666666667
39,1,4,8,1.6666666666666667
39,2,6,8,2.333333333333333
39,3,7,6,-0.6666666666666666
39,4,6,6,1.0
39,5,5,6,1.3333333333333333
39,6,5,8,1.3333333333333333
39,7,5,7,1.6666666666666667
39,8,5,5,1.6666666666666667
39,9,5,8,2.0
39,10,5,8,2.333333333333333
39,11,6,8,2.333333333333333
39,12,6,7,2.333333333333333
39,13,6,7,2.333333333333333
39,14,6,5,1.0
39,15,6,8,2.0
39,16,6,9,2.333333333333333
39,17,6,8,2.333333333333333
39,18,6,7,2.333333333333333
39,19,6,6,2.333333333333333
